Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours
CHISASA GROUP,-11.8367,25.2569,North-Western Province,North-Western Province,North-Western,"Sm, Nm And Ne Of Chisasa School",North-Western Province,100 KM WNW of Solwezi,Iron,,,INACTIVE,"RESERVES ACCORDING TO TIKA LTD: CHISASA NO 1, 7.5 KM NM OF CHISASA: POSSIBLE 173,000 T @ 66.6% FE CHISASA NO 9, 4 KM N OF CHISASA: PROVEN 174,000 T @ 69.1% FE POSSIBLE 216,000 T @ 69.4% FE CHISASA NO 16, 12.5 KM NE OF CHISASA: PROVEN 68,000 T @ 60.9% FE POSSIBLE 43,000 T @ 60.9% FE CHISASA NO 18, 21 KM NE OF CHISASA: PROVEN 320,000 T @ 52.4% FE POSSIBLE 301,000 T @ 51.2% FE CHISASA NO 18A: PROVEN 293,000 T @ 58.9% FE PROBABLE 398,000 T @ 57.1% FE CHISASA NO 18B: PROVEN 1,721,000 T @ 57.1% FE PROBABLE 903,000 T @ 58.1% FE POSSIBLE 36,000 T @ 62.5% FE CHISASA NO 18C: POSSIBLE 127,000 T @ 61.3% FE VANTUNTU, 3 KM SE OF CHISASA NO 18: POSSIBLE 100,000 T @ 64.6% FE CHISASA NO 22, 25 KM N OF CHISASA: PROVEN 145,000 T @ 60.0% FE CHISASA NO 23, 10 KM NM OF CHISASA: PROVEN 153,000 T @ 63.2% FE POSSIBLE 192,000 T @ 63.2% FE KALUMBILA NO 1, ON MANAGESHI RIVER, 20 KM SN OF CHISASA: POSSIBLE 168,000 T @ APPROX 70% FE KALUMBILA NO 3, 30 KM SN OF CHISASA: POSSIBLE 71,000 T @ 67.6% FE KALUMBILA NO 5, 38 KM SN OF CHISASA: PROVEN 331,000 T @ 58.7% FE PROBABLE 150,000 T @ 58.7% FE KALUMBILA NO 6, 41 KM SN OF CHISASA PROVEN 109,000 T @ 63% FE KALUMBILA NO 7,8 AND 8A, 5 KM SE OF KALUMBILA NO 6: PROVEN 198,000 T a 55.6X FE PROBABLE 625,000 T a 57.9X FE POSSIBLE 159,000 T a 58.3X FE KALUMBILA NO 0, 25 KM S OF KALUMBILA 7: POSSIBLE 212,000 T a 50X FE CHONGNE NO 2, 12 KM NN OF KALUMBILA NO 6: POSSIBLE 50,000 T a NIGH GRADE",REPLACEMENT-TYPE IRON FORMATION,"Mineralization: IRON, MAGNETITE, HEMATITE.",292.2875438,4.17553634
CHISALE IRON,-12,26.6667,North-Western Province,North-Western Province,North-Western,ENE Of Kansanshi,North-Western Province,26 KM northeast of Solwezi,Iron,,,INACTIVE,NIL,VEIN TYPE IRON DEPOSITS,SE TRENDING BELT 30 X 6.5 KM CONTAINING NUMEROUS SMALL KOPJES OF HEMATITE. THE MAIN SHOWING IS A HEMATITE VEIN >1.6 KM LONG.,141.5922163,2.022745947
MANSA FIELD (LUICHIRA),-11.2,28.8667,Luapula Province,Mansa,Luapula > Mansa,Mansa Area,Mansa,Adjacent and to the northeast of the town of Mansa,Manganese,,,INACTIVE,UNKNOWN,VEIN-TYPE MANGAWESE ORES,Rock types: GRANITE.,184.983356,2.642619372
LUAPULA AREA (ESP. BUKANDA,-8.5033,28.3414,Northern Province,Northern Province,Northern,Between Lake Nmehu (In The North) And Lake Bangneulu (In The South),Northern Province,Bukanda (near the center of the area) is about 35 KM west of Mansa,Manganese,Copper,Zinc,INACTIVE,"IN THE LATE 1950S, MANGAWESE RESERVES AT MASHIMBA WERE ESTIMATED BY RST AT ABOUT 280,000 LONG TONS OF PROVEN + INFERRED MINERALIZATION, TO A DEPTH OF 50 FT. THESE WERE PROBABLY DEPLETED DURING THE ENSUING YEARS OF MINIM",SEDIMENT AND GRANITE-HOSTED LEAD,ZINC AND COPPER & GRANITE-HOSTED MANGAWESE,451.3197574,6.447425106
LUAPULA IRON,-11.8833,28.55,Luapula Province,Luapula Province,Luapula,20 Km West Of The Luapula River,Luapula Province,51 KM SW of mansas,Iron,,,INACTIVE,UNKNOWN,IRON OCCURRENCE,Mineralization: MAGNETITE.,104.9329799,1.49904257
SHINA MGANDU,-11.0833,31.3419,Muchinga Province,Muchinga Province,Muchinga,"Ne Of Shina Mgandu Village, Headwaters Of Mansha And Lubu Rivers",Muchinga Province,On great north road midway between Mpika and Isoka,Diamond,,,INACTIVE,"ALTHOUGH THERE IS NO POTENTIAL FOR ECONOMIC EXPLOITATION, THE BULK SAMPLING OF GRAVELS YIELDED 0.0171 C OF ALUVIAL DIAMONDS PER 100 T OF GRAVELS.",ALUVIAL DIAMOND LOCALITY,Mineralization: DIAMOND; Formation: BENEATH WHICH ARE THE OLDER FOLDED ROCKS OF THE MANSHA RIVER GROUP.,412.8407186,5.897724551
KABALE (KANCHIBYA),-11.5,31.4167,Muchinga Province,Muchinga Province,Muchinga,"South Of The Kabale Stream, A Tributary Of The Kanchibya",Muchinga Province,45 KM north of Mpika,Diamond,,,INACTIVE,SPECULATIVE,DIAMOND/FEROUS KIMBERLITE,"Rock: Sandstone, Quartzite; Minerals: Diamond; Formation: River Group",404.5556407,5.779366295
MPIKA - LUMANALA,-11.0031,31.1753,Muchinga Province,Muchinga Province,Muchinga,North Of The Road Running West From Shima Ngandu,Muchinga Province,75 KM north of Mpika,Diamond,,,INACTIVE,NIL,DIAMOND OCCURRENCE,"Rock types: SANDSTONE, METASEDIMENT; Mineralization: DIAMOND; Formation: LUITIKILA GROUP.",399.9675217,5.713821738
MANYINGA,-12.6703,23.9233,North-Western Province,Kabompo,North-Western > Kabompo,"Embraces The Mawinga Stream, Which Flows South Into The Kabompo",Kabompo,The south limit of the PL is 15 KM north of Kabompo,Diamond,,,INACTIVE,NIL,DIAMOND OCCURRENCE,Rock types: GRANITE.,426.3757353,6.091081933
MUJIMBEJI MSO/F,-12.0833,24.9833,North-Western Province,Mwinilunga,North-Western > Mwinilunga,10 Km East Of The Mwinilunga Ntambu Road,Mwinilunga,70 KM SE of Mwinilunga,Copper,,,INACTIVE,NIL,STRATIFORM COPPER,"THE PROPERTY IS LOCATED ON THE VEST SIDE OF THE KABOMPO DOME, AND IS UNDERLAIN BY CALCAREOUS ROCKS A...",315.4236636,4.506052338
KALABA,-12.25,24.45,North-Western Province,Mwinilunga,North-Western > Mwinilunga,14 Km West Of The Mwinilunga Ntambu Road,Mwinilunga,70 KM SE of Mwinilunga,Copper,Cobalt,Uranium,INACTIVE,MIL,STRATIFORM COPPER,"Mineralization: COPPER, MALACHITE, CHALCOPYRITE.",370.5941197,5.29420171
WEST LUNGA IRON,-12.0033,24.0069,North-Western Province,North-Western Province,North-Western,West Lunga Area,North-Western Province,South of Mwinilunga,Iron,,,UNKNOWN,INACTIVE,NIL,IRON DEPOSITS,421.7026203,6.024323147
CHILLIAMANOMBO (NK 36/D),12.2514,24.35,Southern Province,Kabompo,Southern > Kabompo,8 KM East Of The Munilunga Kabompo Road,8 Kn East Of The Munilunga Kabompo Road,58 KM south of munilunga,Copper,,,INACTIVE,NIL,SEDIMENT-HOSTED COPPER,SEE ABOVE,2782.853521,39.7550503
WEST LUNGA DIAMONDS,-12.17,24.34,North-Western Province,Mwinilunga,North-Western > Mwinilunga,"South Of Mwinilunga, North Of The West Lunga National Park",Mwinilunga,45 to 75 KM south of Mwinilunga,Diamond,,,INACTIVE,MIL,DIAMOND OCCURRENCE,Rock: Dolomite,383.3914102,5.477020146
K7,-12.8167,24.6667,North-Western Province,Kabompo,North-Western > Kabompo,40 Km East Of The Kabompo Muniilunga Road,Kabompo,105 KM NE of Kabompo,Uranium,Copper,,INACTIVE,NIL,INSIGNIFICANT ANOMALY,Rock types: CONGLOMERATE; Mineralization: MALACHITE.,346.7768123,4.953954462
M49/B,24.0833,1224,Eastern Province,Mwinilunga,Eastern > Mwinilunga,110 Km South Of Mwinilunga,110 Km South Of Mwinilunga,Copper,,,,UNKNOWN,COPPER ANOMALY,"THE CLEARING HAS ANOMALOUS DRAINAGE AND ANTRILL SAMPLES PITS SOUTH AND WEST OF THE CLEARING HAVE UP TO 1,000 PPM CU",No description available,13206.85105,188.6693007
KABARISA,-12.2,25.8333,North-Western Province,North-Western Province,North-Western,7 Km Ne Of Malundne On The Road To Airstrip,North-Western Province,Approximately 80 KM west of Solwezi,Copper,Amethyst,Emerald,INACTIVE,NIL,COPPER-BEARING SCHISTS AND ULTRAWAFIC ROCKS,"Rock types: SCHIST; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",222.1527001,3.173610001
LUMIANA CHIMIWANGO,-12.2833,25.8833,North-Western Province,North-Western Province,North-Western,8 Km Se Of Malundae,North-Western Province,60 KM west of Solwezi,Copper,Uranium,Cobalt,INACTIVE,"RTZ CONSULTANTS ESTIMATE A NINEABLE RESERVE OF 490.6 MILLION TOWNS CONTAINED IN TWO DEPOSITS; CHIMIWANGO SOUTH CONTAINING 97.5 MILLION TOWNS 0.1.01X COPPER, WITH A VASTE/ORE RATIO OF 6.8:1 AND CHIMIWANGO NORTH CONTAINING 393.1 MILLION TOWNS 0.75X COPPER, WITH A VASTE/ORE RATIO OF 5.0:1. AGIP ESTIMATE A RESERVE OF 13.28 MILLION TOWNS 0.1.2X COPPER, WITH A VASTE/ORE RATIO OF 4.1:1. SEE MALUNDAE DESCRIPTION FOR MORE DETAILS.",STRATIFORM COPPER,GEOLOGICALLY SIMILAR TO THE MALUNDAE DEPOSIT LOCATED 8 KM TO THE NM.,215.3758359,3.076797656
LUNHANA LUBUE,-12.15,25.9667,North-Western Province,North-Western Province,North-Western,16 Km East Of Malundue,North-Western Province,48 KM west of Solwezi,Copper,,,INACTIVE,FREEMAN (1988-2) ESTIMATED A RESOURCE OF 70 MILLION TONNES @ 0.8X COPPER.,STRATIFORM COPPER,"Rock types: SCHIST, GNEISS, DOLOMITE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",208.9696371,2.985280529
LUMIANA MALUHQUE,-12.25,25.8,North-Western Province,Solwezi,North-Western > Solwezi,6 Km Horth Of Solwezi-Muthilunga Road,Solwezi,65 KM west of Solwezi,Copper,Uranium,Gold,INACTIVE,"RTZ CONSULTANTS ESTIMATE MINERALE RESERVES AT 92.1 MILLION TONNES GRADING 1.12K COPPER IN OPEN PIT RESERVES AT MALUNDUE WITH A MASTELORE STRIPPING RATIO OF 6.4:1 IN THEIR 1976 ""VIABILITY"" STUDY. THEY ESTIMATE GEOLOGICAL RESERVES FOR THE TWO DEPOSITS AT A CUT-OFF OF 0.3K AT 749 MILLION TONNES @ 0.84K COPPER (MALUNDUE CONTAINING 114 MILLION TONNES @ 1.11K AND CHIMIUNGO CONTAINING 635 MILLION TONNES @ 0.79K COPPER). FREEMAN (1990-8) STATES THAT AN AGIP ""PREFEASTABILITY STUDY"" ESTIMATES OPEN PIT RESERVES AT MALUNDUE AT 19.5 MILLION TONNES @ 1.4K COPPER, AT A STRIPPING RATIO OF 3.21:1. WITHIN THE PIT, A URANIUM DEPOSIT CONTAINING 4,000 T U (0.56 MILLION TONNES @ 0.65K US08) WOULD BE RECOVERED.",STRATIFORM COPPER,"Rock types: QUARTZITE, SCHIST, DOLOMITE; Mineralization: CHALCOPYRITE, PYRITE.",224.856258,3.212232257
MUOMBEZHI COPPER,-12.2833,25.5333,North-Western Province,North-Western Province,North-Western,28 Km West Of Lunmana Malundne,North-Western Province,95 KM west of Solwezi,Copper,,,UNKNOWN,NIL,STRATIFORM COPPER,SPARSE DISSEMINATED COPPER IN SCHISTS PROBABLY OF SIMILAR AGE TO MALUNDNE.,253.1143739,3.615919627
NTUHGU,12.4014,25.5167,Southern Province,Solwezi,Southern > Solwezi,5 Km South Of The Solwezi Mutinilungo Road,5 Km South Of The Solwezi Mutinilungo Road,95 KM west of Solwezi,Copper,,,UNKNOWN,NIL,STRATIFORM COPPER,THE DEPOSIT OCCURS IN LOWER ROAN KYAMITE-BEARING SCHISTS ON THE SOUTHWEST MARGIN OF THE MUOMBEZHI DOME.,2784.536586,39.77909408
SHILEADA,-12.4167,25.75,North-Western Province,North-Western Province,North-Western,15 Km South Of Solvezi Nvinilunga Road,North-Western Province,75 KM west of Solwezi,Copper,,,INACTIVE,NIL,EXOTIC (TRANSPORTED) SUPERGENE OCCURRENCE,No description available,228.3645292,3.262350417
KALUMBILA,-12.2667,25.2833,North-Western Province,Solwezi,North-Western > Solwezi,"Solwezi-Kalumbila Pl, Muniilunga Area, Just Se Of Kaboppo Dome",Solwezi,"350 KM u of chimgola, 18 KM v of muniilunga road",Nickel,Copper,,UNKNOWN,"ESTIMATED 7 MILLION TONS GRADING 0.55X NI, 0.2X Co AND 0.15X Cu (GARLICK - R.S.T., 1964?). THE DRILL HOLE SPACING IS TOO GREAT FOR AN ACCURATE ESTIMATE (SPACING OF 150-300 M), HOWEVER, ASSUMING CONTINUITY BETWEEN INTERSECTIONS, AMGLO DID A CALCULATION IN 1972(?) , AND CAME UP WITH POSSIBLE RESERVES (TOTALLING 8.0 MILLION T GRADING 0.54X NI, 0.20X Co, 0.14X Cu) OF: 2 HIGH GRADE LENSES (-0.4X NI) - 3.0 MILLION T @ 0.73X NI, 0.27X Co, 0.12X Cu & 0.3 MILLION T @ 0.8X NI, 0.78 Co, 0.17X Cu 3 LOW GRADE LENSES - TOTAL OF 4.7 MILLION T @ 0.4X NI, 0.12X Co, 0.14X Cu",SHALE-MOSTED LENSUID NICKEL AND STRATIFORM COPPER DEPOSIT,"APPLETON (1978), ELLIS (1963), FREEMAN (1972 - 1, 1988 -",280.3139563,4.00448509
JAVUMA,-12.9667,25.2333,North-Western Province,North-Western Province,North-Western,14 Km North Of The Kalengwa Kalulushi Road,North-Western Province,60 KM NNE of kalengwa,Copper,,,INACTIVE,NIL,SUPERGENE ENRICHED SEDIMENTARY COPPER,"Rock types: SHALE; Mineralization: COPPER, MALACHITE, DIAMOND.",287.8463476,4.11209068
ITANA,-12.9333,28.5833,Copperbelt Province,Copperbelt Province,Copperbelt,Nodla Area,Copperbelt Province,1. 5 KM east of nodla railway station,Zinc,Lead,Copper,INACTIVE,AS A BASE METAL PROSPECT,UNCLASSIFIED,THE LIMESTONE QUARRY IS STILL ACTIVE.,91.13082258,1.301868894
MISNISHI,12.9014,28.65,Southern Province,Southeastern Copperbellt,Southern > Southeastern Copperbellt,Southeastern Copperbellt,Southeastern Copperbellt,"10 KM north of Ndola, 15 KM NE of luanswya",Copper,Talc,,INACTIVE,"POSSIBLY 600,000 TOWNS AVERAGING 1.03X COPPER IN A SMALL POD OF MINERALIZATION REPEATED BY FOLDING (FREEMAN, 1988).",STRATIFORM COPPER IN LOWER ROAN,Rock types: QUARTZITE; Mineralization: COPPER.,2829.587934,40.42268477
MUEKERA,-12.75,28.5833,Copperbelt Province,Copperbelt Province,Copperbelt,Southeastern Copperbelt,Copperbelt Province,"40 KM SE of Mufulira and 24 KM nn of Ndola, near the Zaire border",Copper,,,INACTIVE,"7.1 MILLION TONNES AT AN AVERAGE GRADE OF 1.53X COPPER IN 3 ZONES. THE LOWER OREGODY CONTAINS AN ESTIMATED 4.6 MILLION TONNES @ 1.76X COPPER; OR A THINNER, HIGHER GRADE SECTION CONTAINING 2.6 MILLION TONNES @ 2.37X. THE LOWER GRADE ""FRINGE"" CONTAINS 1.7 MILLION TONNES @ 1.5X; AND THE HANGING WALL MINERALIZATION COMPRISES 800,000 TONNES @ 1.3X COPPER. (FREEMAN, 1988).",STRATIFORM COPPER IN LOWER ROAN,"Rock types: QUARTZITE, CONGLOMERATE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE.",83.13481505,1.187640215
NDOLA EAST,-12.8667,28.7167,Copperbelt Province,Copperbelt Province,Copperbelt,Southeastern Copperbelt,Copperbelt Province,"8 KM north of Ndola, 33 KM NE of Luanshya, and 55 KM SE of Mufulira",Copper,,,INACTIVE,"IT HAS BEEN ROUGHLY ESTIMATED THAT AN AREA MEASURING 3,500 M BY 1,500 M WITH A MINERALIZED ZONE AVERAGING 5 M IN THICKNESS COULD CONTAIN ABOUT 40 MILLION TONNES AVERAGING 0.76X COPPER.",STRATIFORM COPPER IN LOWER ROAN,"Rock: Quartzite, Dolomite; Minerals: Copper; Formation: Roam Formation",101.0553859,1.44364837
NDOLA WEST,-12.9333,28.6667,Copperbelt Province,Copperbelt Province,Copperbelt,Southeastern Copperbelt,Copperbelt Province,"5 KM west of Ndola town, 25 KM NNE of luansnya, 60 KM SE of Mufulira",Copper,,,INACTIVE,POSSIBLY 3 MILLION TONNES AT AN AVERAGE GRADE OF 1.56X COPPER.,STRATIFORN COPPER IN LOWER ROAN,"Rock types: QUARTZITE, DOLOMITE; Mineralization: COPPER.",99.11755811,1.415965116
NGALA,-12.5833,28.5167,Copperbelt Province,Copperbelt Province,Copperbelt,Eastern Copperbelt,Copperbelt Province,25 KM SE of Mufulira,Copper,,,INACTIVE,"ABOUT 200,000 TONNES AT AN AVERAGE GRADE OF 2.41% IN A SMALL, STEEPLY DIPPING BODY (FREEMAN, 1988).",STRATIFORM COPPER OXIDES AND SULPHIDES IN LOWER ROAN,"Rock types: QUARTZITE, SCHIST, DOLOMITE; Mineralization: COPPER, MALACHITE, DIAMOND; Formation: MUASHIA AND KUNDELUNGUI FORMATION.",72.57005843,1.03671512
AREA K,-12.8333,28.25,Copperbelt Province,Copperbelt Province,Copperbelt,"Hkana Division, Central Copperbelt",Copperbelt Province,6 KM south of kitne,Copper,Cobalt,,INACTIVE,"2.6 MILLION TONNES AT AN AVERAGE GRADE OF 2.06X TOTAL COPPER, 1.37X ACID SOLUBLE COPPER (HKANA DIVISION,1990); AND 0.05X COBALT IN AREAS NOT UNDERMINED BY STOPING (FREEMAN, 1988).",STRATIFROM COPPER SULPHIDES AND OXIDES IN LOWER ROAN,"Rock types: SANDSTONE, SCHIST, SHALE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE; Formation: BEARING FORMATION.",54.73536236,0.781933748
CHAMBISHI NINE,-12.5833,28.0333,Copperbelt Province,Chambishi,Copperbelt > Chambishi,"Northern Copperbelt, In Chambishi Ml19",Chambishi,Midway between kitne and Chingola,Copper,,,UNKNOWN,ON CARE-AND-MAINTENANCE.,"ALL MINERALIZED MATERIAL AT CHAMBISHI IS CURRENTLY CLASSIFIED AS RESOURCESTOTAL RESOURCES IN THE CHAMBISHI MAIN AND WEST DEPOSITS AS AT THE END OF MARCH 1990 , AS ESTIMATED BY NKAMA DIVISION , WERE 10224 MILLION TONKES AT A GRADE OF 236% TOIL ONE RESERVES IN 1988 WERE: FULLY DEVELOPED - 542,000 T @ 302% TOTAL COPPER; PARTLY DEVELOPED - 506,000 T GRADING 320% TOTAL CU; UNDEVELOPED - 28 MILLION T @ 268% TOTAL CU",STRATIFORM COPPER MINERALIZATION IN LOWER ROAM OF KATANGA SYSTEM.,20.66117252,0.295159607
CHAMBISHI SOUTHEAST,-12.4533,28.1078,Luapula Province,Luapula Province,Luapula,"Central Copperbelt, In Chambishi Ml 19",Luapula Province,"18 KM nu of Kitwe, and 8 KM SE of the Chambishi main oreboy",Copper,Cobalt,,INACTIVE,"NKAMA DIVISION PROVIDED AN ESTIMATE OF RESERVES AT CHAMBISHI SE IN THEIR BIENNIAL REPORT FOR THE PERIOD ENDING 31 MARCH 1990 AS FOLLOWS: CHAMBISHI SE (NORTH): 38.3 MILLION TONNES @ 2.42X TCU. CHAMBISHI SE (SOUTH): 6.3 MILLION TONNES @ 2.23X TCU. FREEMAN (1988) ESTIMATED THAT IN A MU-TRENDING AREA SOME 8,000 M LONG BY 1,000-2,000 M WIDE THERE MAY BE 55.4 MILLION TONNES AVERAGING 2.42X CU IN A ""MIGH GRADE"" SECTOR, AND A FURTHER 50.4 MILLION TONNES @ 1.63X CU IN A ""LOV GRADE"" ZONE. WITHIN THOSE TWO DEPOSITS THERE MAY BE 16 MILLION TONNES @ 0.15X CO AND 26 MILLION TONNES @ 0.10X CO RESPECTIVELY.",STRATIFORM COPPER OCCURRING AS DISSEMINATED COPPER & COBALT SULPHIDES,"Rock: Quartzite, Dolomite; Formation: Ore Formation",29.3635908,0.419479869
