Property_Name,Latitude,Longitude,District/Town,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,Province,District/Town_Original
SANJE COPPER,-15.433333333333334,27.933333333333334,Lusaka,30 KM SW OF LUSAKA,COPPER,GERMANIUM,SILVER,INACTIVE,"14,000 T @ 4.30% Cu (High Grade). 476,000 T @ 0.68% Cu [cite: 382-383].",STRATIFORM COPPER,"Pipe-shaped body of low-grade copper. High grade contains 60 g/t Ge, 150 g/t Ag.",322.59429818629854,4.608489974089979,Lusaka,LUSAKA DISTRICT
SANJE (IRON),-15.5,27.916666666666668,Lusaka,35 KM WSW OF LUSAKA,IRON,None,None,INACTIVE,"Probable Ore: 3.8 Million T @ 62% Fe, 1.3% S[cite: 433].",IRON REPLACEMENT,Pipe-like hydrothermal replacement of limestone. Massive specular hematite[cite: 448].,329.9603638320765,4.713719483315378,Lusaka,LUSAKA SANJE AREA
CHETA (IRON),-15.5,27.916666666666668,6 Km N Of Nampundwe,35 KM WSW OF LUSAKA,IRON,None,None,INACTIVE,Approx 5 Million T @ 66.75% Fe[cite: 435].,IRON REPLACEMENT,Hematite-magnetite-martite-limonite deposit. Pyritic at depth [cite: 453-454].,329.9603638320765,4.713719483315378,Unknown,6 KM N OF NAMPUNDWE
STRAUSS RIDGE,-15.5,27.916666666666668,Lusaka,nan,IRON,None,None,INACTIVE,nan,STRATIFORM MAGNETITE-HEMATITE,Small stratiform deposit striking East for approx 300m[cite: 457].,329.9603638320765,4.713719483315378,Lusaka,24 KM WSW OF LUSAKA
VENTER'S RIDGE,-15.5,27.916666666666668,Lusaka,nan,IRON,None,None,INACTIVE,0.5 Million T @ 66.9% Fe [cite: 437].,STRATIFORM IRON,"Friable, porous, magnetite-hematite-jasper ore[cite: 459].",329.9603638320765,4.713719483315378,Lusaka,24 KM WSW OF LUSAKA
CHITENTABUNGA,-15.4,28.8,Lusaka,40 KM ESE OF LUSAKA,GOLD,SILVER,COPPER,INACTIVE,NIL,HYDROTHERMAL QUARTZ VEIN,"Quartz veins crosscut Chongwe Group. Traces W, Bi, Tin with 0.5 g/t Au [cite: 493-495].",334.8367830744032,4.783382615348617,Lusaka,LUSAKA AREA
CHONGWE IRON,-15.25,28.5,Chongwe,45 KM EAST OF LUSAKA,IRON,None,None,INACTIVE,10 Million T @ 65% Fe (Stohl) or 1M T @ 64% Fe (Woakes) [cite: 524-525].,SEDIMENTARY IRON FORMATION,21 km line of outcrops of iron ore. Granular massive magnetite/specular hematite [cite: 530-531].,310.1225666244568,4.4303223803493825,Lusaka,WEST BANK CHONGWE RIVER
KASISI NORTH IRON,-15.25,28.5,2 Km Ne Of Kasisi Village,45 KM EAST OF LUSAKA,IRON,None,None,INACTIVE,nan,SEDIMENTARY IRON FORMATION,Part of Chongwe Iron group.,310.1225666244568,4.4303223803493825,Unknown,2 KM NE OF KASISI VILLAGE
MWEBA STREAM (LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,COPPER,None,None,INACTIVE,nan,GEOCHEM TARGET,590 ppm Cu in stream sediment. Muva age quartzites[cite: 573].,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
BESWA HILL (LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,COPPER,None,None,INACTIVE,nan,QUARTZITE HOSTED,Malachite in quartzite. Best grab sample 1.10% Cu[cite: 575].,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
NKASEKA HILL (MO 121 / LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,GOLD,None,None,INACTIVE,nan,VEIN,Several veins up to 0.6m wide. 11/52 samples > 1.7 g/t Au [cite: 581-582].,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
GEELONG MALUNDA (MO 129),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,GOLD,BISMUTH,None,INACTIVE,nan,VEIN,Veins up to 40m long. Trench samples up to 1.2 g/t Au[cite: 589].,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
JESSIE MINE (LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,None,None,None,INACTIVE,nan,nan,nan,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
DARG MINE (LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,None,None,None,INACTIVE,nan,nan,nan,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
NEW MO (LUSAKA EAST),-15.25,29.5,9.66 Km East Of Jessie Mine,80 KM EAST OF LUSAKA,COPPER,None,None,INACTIVE,nan,QUARTZITE HOSTED,Chalcocite and malachite in bands in quartzite[cite: 576].,350.6688628839872,5.00955518405696,Unknown,9.66 KM EAST OF JESSIE MINE
MO 119/120 (LUSAKA EAST),-15.25,29.5,Mulambwa Stream Basin,80 KM EAST OF LUSAKA,GOLD,BISMUTH,None,INACTIVE,nan,VEIN,Rubble/float of tourmaline/vein quartz. Assays 5.5 and 1.9 g/t Au [cite: 578-579].,350.6688628839872,5.00955518405696,Unknown,MULAMBWA STREAM BASIN
MO 126 (LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,GOLD,None,None,INACTIVE,nan,VEIN,"Several quartz veins, main one 1.3m wide, 210m long[cite: 585].",350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
MO 160/161 (LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,COPPER,GOLD,SILVER,INACTIVE,nan,BASEMENT,Widespread basement copper mineralization with traces gold/silver[cite: 592].,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
MO 207 (CHISAKA),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,COPPER,GOLD,None,INACTIVE,nan,nan,Old prospect not found by Chartered Ex.,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
MO 52 (LUSAKA EAST),-15.25,29.5,Lusaka,80 KM EAST OF LUSAKA,COPPER,None,None,INACTIVE,nan,AMYGDALOIDAL,Minor copper in amygdales/joint planes[cite: 595].,350.6688628839872,5.00955518405696,Lusaka,LUSAKA EAST AREA
KUANGA,-15.233333333333333,28.883333333333333,Chinyunyu Dome,80 KM EAST OF LUSAKA,GOLD,COPPER,None,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,Quartz vein 50m x 1m. High gold values from surface not duplicated later [cite: 644-647].,320.2772901204454,4.575389858863506,Unknown,CHINYUNYU DOME
PALA DARG,-15.25,28.75,Chinyunyu Dome,75 KM ENE OF LUSAKA,GOLD,BISMUTH,None,INACTIVE,Est. 297 T @ 2.63% Bi. Garlick est. 408 T @ 4% Bi.,HYDROTHERMAL VEIN,"Quartz vein strikes E 25 S, 1m width. Bismuthinite/native bismuth [cite: 674-676].",317.3168719480668,4.533098170686669,Unknown,CHINYUNYU DOME
SHAMGLA (PALA DARG GROUP),-15.25,28.75,Pala Darg Area,75 KM ENE OF LUSAKA,None,None,None,INACTIVE,nan,nan,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,Unknown,PALA DARG AREA
KAYEBWE (PALA DARG GROUP),-15.25,28.75,Pala Darg Area,75 KM ENE OF LUSAKA,None,None,None,INACTIVE,nan,nan,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,Unknown,PALA DARG AREA
CAIRN DHU (PALA DARG GROUP),-15.25,28.75,Pala Darg Area,75 KM ENE OF LUSAKA,None,None,None,INACTIVE,nan,nan,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,Unknown,PALA DARG AREA
RAINBOW (MO 251),-15.25,28.75,Pala Darg Area,75 KM ENE OF LUSAKA,None,None,None,INACTIVE,nan,nan,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,Unknown,PALA DARG AREA
DEVONSHIRE (PALA DARG GROUP),-15.25,28.75,Pala Darg Area,75 KM ENE OF LUSAKA,None,None,None,INACTIVE,nan,nan,Part of Pala Darg group[cite: 673].,317.3168719480668,4.533098170686669,Unknown,PALA DARG AREA
LUCRE (PALA DARG GROUP),-15.25,28.75,Se End Of Pala Darg System,75 KM ENE OF LUSAKA,GOLD,BISMUTH,SILVER,INACTIVE,nan,VEIN,"Veins near contact basic schists/granite. Ag (7ppm), Au (2.4ppm)[cite: 681].",317.3168719480668,4.533098170686669,Unknown,SE END OF PALA DARG SYSTEM
CHALALOBUKA (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,Sulphide: 1.4M T @ 2.88% Cu. Oxide: 0.7M T @ 1.83% Cu.,SHEAR ZONE COPPER,Thickness 0.72-7.09m. Capped by Cu-bearing micaceous mud.,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
50/59 (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,"Sulphide: 1.9M T @ 1.54% Cu. Oxide: 59,000 T @ 1.81% Cu.",SHEAR ZONE COPPER,Thickness 0.40-8.66m.,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
CHONGWE SOUTH,-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,"A Lens: 161,000 T @ 2.58% Cu. C Lens: 223,000 T @ 2.46% Cu [cite: 730-736].",SHEAR ZONE COPPER,nan,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
LUCKY JIM (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,"Oxide: 121,000 T @ 2.42% Cu (Refractory) [cite: 752-753].",SHEAR ZONE COPPER,nan,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
KANAKANTAPA (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,"Oxide: 41,000 T @ 1.70% Cu (Refractory)[cite: 754].",SHEAR ZONE COPPER,nan,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
TANTA WANDA (MO 256),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,nan,VEIN,Two small shoots Cp-Bn-Cc. Assays 3.52% Cu/1.4m[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
CHILONGA (MO 257),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,nan,SEDIMENTARY/SHEAR,Surface mineralization avg 1.3% Cu. Area 150 x 100m[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
SISENGO (MO 258),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,nan,SHEAR,Explored by shallow shafts. Similar to Allies but small[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
ROBUKO (MO 258),-15.216666666666667,28.533333333333335,Chongwe,43 KM NNE OF LUSAKA,COPPER,None,None,INACTIVE,nan,SHEAR,Similar to Sisengo[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
CHISOLAKI (MO 259),-15.333333333333334,28.666666666666668,Chongwe,40 KM ENE OF LUSAKA,GOLD,None,None,INACTIVE,nan,HYDROTHERMAL QUARTZ VEIN,Erratic gold in ironstone lenses. Highest assay 67.7 g/t[cite: 770].,323.5812915934773,4.622589879906819,Lusaka,CHONGWE GROUP
LUSOKE (MO 259),-15.333333333333334,28.666666666666668,Chongwe,40 KM ENE OF LUSAKA,GOLD,None,None,INACTIVE,nan,HYDROTHERMAL QUARTZ VEIN,Part of Chisolaki area[cite: 770].,323.5812915934773,4.622589879906819,Lusaka,CHONGWE GROUP
CHAIYENDA (MO 260),-15.316666666666666,28.616666666666667,Chongwe,40 KM ENE OF LUSAKA,GOLD,None,None,INACTIVE,"11,500 T @ 1 g/t Au[cite: 830].",HYDROTHERMAL QUARTZ VEIN,Gold mineralization 390 x 40m area.,320.3637243948388,4.576624634211983,Lusaka,CHONGWE GROUP
NKANDA (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,nan,COPPER,None,None,INACTIVE,nan,SHEAR,Sulphide mineralization. Part of Katuba-Tundwe-Nkanda group[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,WEST OF CHONGWE BLOCKS
TUNDWE (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,nan,COPPER,None,None,INACTIVE,nan,SHEAR,Sulphide mineralization. Part of Katuba-Tundwe-Nkanda group[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,WEST OF CHONGWE BLOCKS
KATUBU (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,nan,COPPER,None,None,INACTIVE,nan,SHEAR,Sulphide mineralization. Best intersection 2.09% Cu over 2.7m[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,WEST OF CHONGWE BLOCKS
CHIBUKAMA (CHONGWE),-15.216666666666667,28.533333333333335,Chongwe,nan,COPPER,None,None,INACTIVE,nan,SHEAR,No values > 0.5% Cu intersected[cite: 770].,307.3580141224631,4.390828773178044,Lusaka,3 KM WSW OF CHONGWE
CHONGWE NORTH (RST),-15.216666666666667,28.533333333333335,Chongwe,nan,COPPER,None,None,INACTIVE,nan,nan,Part of Chongwe Group.,307.3580141224631,4.390828773178044,Lusaka,CHONGWE GROUP
CHONGWE EAST (MO 255),-15.216666666666667,28.533333333333335,Chongwe,nan,COPPER,None,None,INACTIVE,nan,nan,36 km SE of Chalalobuka.,307.3580141224631,4.390828773178044,Lusaka,EXTREME SE OF CHONGWE GROUP
ALLIES (MO 261),-15.266666666666667,28.583333333333332,Chongwe,40 KM NE OF LUSAKA,COPPER,GOLD,None,INACTIVE,"Lens 1: 130,000 T @ 4.37% Cu. Lens 2: 59,000 T @ 4.84% Cu[cite: 866].",SHEAR ZONE,Shear zone 300m long. Cp-Po sulphide. Gold avg 9.4 g/t in hand picked samples.,314.07246918530785,4.486749559790113,Lusaka,11 KM SE OF CHONGWE OCCURRENCES
CHARAMBANA (MO 264),-15.383333333333333,28.616666666666667,Lusaka,29 KM EAST OF LUSAKA,COPPER,None,None,INACTIVE,nan,SHEAR/STRATIFORM,Malachite widespread 400m strike. Adit 1.3% Cu over 24m [cite: 947-948].,327.52771075995224,4.678967296570747,Lusaka,EAST OF LUSAKA
COLOSSUS (MO 263),-15.383333333333333,28.616666666666667,5 Km Nw Of Charambana,nan,COPPER,None,None,INACTIVE,nan,QUARTZITE HOSTED,Low-grade occurrence in quartzite[cite: 950].,327.52771075995224,4.678967296570747,Unknown,5 KM NW OF CHARAMBANA
MYOBA (MO 265),-15.383333333333333,28.616666666666667,2 Km S Of Charambana,nan,COPPER,None,None,INACTIVE,nan,SHEAR,Malachite/chalcocite/bornite in limestone[cite: 951].,327.52771075995224,4.678967296570747,Unknown,2 KM S OF CHARAMBANA
LOGOFO,-15.5,28.733333333333334,Lusaka,46 KM EAST OF LUSAKA,GOLD,None,None,INACTIVE,NONE,HYDROTHERMAL VEIN,Ferruginous quartz veins cutting banded limestone. Assayed < 0.5 g/t [cite: 984-985].,343.3676615267746,4.905252307525352,Lusaka,LUSAKA AREA
INPUT ANOMALY 148,-15.25,28.033333333333335,Lusaka,30 KM WEST OF LUSAKA,SULPHUR,ZINC,COPPER,INACTIVE,3.0 Million T @ 6.0% S[cite: 1015].,PYRITIC REPLACEMENT,Replacement in carbonate rocks of Cheta Formation.,302.7306246568286,4.324723209383265,Lusaka,WEST OF LUSAKA
INPUT ANOMALY 16,-15.25,28.033333333333335,Lusaka,30 KM WEST OF LUSAKA,SULPHUR,ZINC,LEAD,INACTIVE,11.4 Million T @ 6.0% S[cite: 1015].,PYRITIC REPLACEMENT,nan,302.7306246568286,4.324723209383265,Lusaka,WEST OF LUSAKA
INPUT ANOMALY 46,-15.25,28.033333333333335,Lusaka,30 KM WEST OF LUSAKA,SULPHUR,ZINC,COPPER,INACTIVE,10.0 Million T @ 12.0% S[cite: 1015].,PYRITIC REPLACEMENT,nan,302.7306246568286,4.324723209383265,Lusaka,WEST OF LUSAKA
WHITE ROCK,-15.5,28.133333333333333,Lusaka,35 KM SW OF LUSAKA,ZINC,COPPER,LEAD,INACTIVE,NIL,SECONDARY CARBONATE-HOSTED ZINC,Original outcrop 46m x 4.5m. Mineralization continues 250m strike [cite: 1061-1063].,331.2947792323636,4.732782560462337,Lusaka,LUSAKA DISTRICT
