Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,District/Town_Original
Chisasa Group,-11.8367,25.2569,North-Western Province,Mwinilunga,North-Western Province > Mwinilunga,"Sm, Nm And Ne Of Chisasa School",Mwinilunga,100 KM WNW of Solwezi,Iron,,,Active,"RESERVES ACCORDING TO TIKA LTD: CHISASA NO 1, 7.5 KM NM OF CHISASA: POSSIBLE 173,000 T @ 66.6% FE CHISASA NO 9, 4 KM N OF CHISASA: PROVEN 174,000 T @ 69.1% FE POSSIBLE 216,000 T @ 69.4% FE CHISASA NO 16, 12.5 KM NE OF CHISASA: PROVEN 68,000 T @ 60.9% FE POSSIBLE 43,000 T @ 60.9% FE CHISASA NO 18, 21 KM NE OF CHISASA: PROVEN 320,000 T @ 52.4% FE POSSIBLE 301,000 T @ 51.2% FE CHISASA NO 18A: PROVEN 293,000 T @ 58.9% FE PROBABLE 398,000 T @ 57.1% FE CHISASA NO 18B: PROVEN 1,721,000 T @ 57.1% FE PROBABLE 903,000 T @ 58.1% FE POSSIBLE 36,000 T @ 62.5% FE CHISASA NO 18C: POSSIBLE 127,000 T @ 61.3% FE VANTUNTU, 3 KM SE OF CHISASA NO 18: POSSIBLE 100,000 T @ 64.6% FE CHISASA NO 22, 25 KM N OF CHISASA: PROVEN 145,000 T @ 60.0% FE CHISASA NO 23, 10 KM NM OF CHISASA: PROVEN 153,000 T @ 63.2% FE POSSIBLE 192,000 T @ 63.2% FE KALUMBILA NO 1, ON MANAGESHI RIVER, 20 KM SN OF CHISASA: POSSIBLE 168,000 T @ APPROX 70% FE KALUMBILA NO 3, 30 KM SN OF CHISASA: POSSIBLE 71,000 T @ 67.6% FE KALUMBILA NO 5, 38 KM SN OF CHISASA: PROVEN 331,000 T @ 58.7% FE PROBABLE 150,000 T @ 58.7% FE KALUMBILA NO 6, 41 KM SN OF CHISASA PROVEN 109,000 T @ 63% FE KALUMBILA NO 7,8 AND 8A, 5 KM SE OF KALUMBILA NO 6: PROVEN 198,000 T a 55.6X FE PROBABLE 625,000 T a 57.9X FE POSSIBLE 159,000 T a 58.3X FE KALUMBILA NO 0, 25 KM S OF KALUMBILA 7: POSSIBLE 212,000 T a 50X FE CHONGNE NO 2, 12 KM NN OF KALUMBILA NO 6: POSSIBLE 50,000 T a NIGH GRADE",REPLACEMENT-TYPE IRON FORMATION,"Mineralization: IRON, MAGNETITE, HEMATITE.",292.2875438,4.17553634,
Chisale Iron,-12.0,26.6667,North-Western Province,Solwezi,North-Western Province > Solwezi,ENE Of Kansanshi,Solwezi,26 KM northeast of Solwezi,Iron,,,Active,NIL,VEIN TYPE IRON DEPOSITS,SE TRENDING BELT 30 X 6.5 KM CONTAINING NUMEROUS SMALL KOPJES OF HEMATITE. THE MAIN SHOWING IS A HEMATITE VEIN >1.6 KM LONG.,141.5922163,2.022745947,
Mansa Field (Luichira),-11.2,28.8667,Luapula Province,Mansa,Luapula Province > Mansa,Mansa Area,Mansa,Adjacent and to the northeast of the town of Mansa,Manganese,,,Active,UNKNOWN,VEIN-TYPE MANGAWESE ORES,Rock types: GRANITE.,184.983356,2.642619372,
Luapula Area (Esp. Bukanda,-8.5033,28.3414,Northern Province,Mporokoso,Northern Province > Mporokoso,Between Lake Nmehu (In The North) And Lake Bangneulu (In The South),Mporokoso,Bukanda (near the center of the area) is about 35 KM west of Mansa,Manganese,Copper,Zinc,Active,"IN THE LATE 1950S, MANGAWESE RESERVES AT MASHIMBA WERE ESTIMATED BY RST AT ABOUT 280,000 LONG TONS OF PROVEN + INFERRED MINERALIZATION, TO A DEPTH OF 50 FT. THESE WERE PROBABLY DEPLETED DURING THE ENSUING YEARS OF MINIM",SEDIMENT AND GRANITE-HOSTED LEAD,ZINC AND COPPER & GRANITE-HOSTED MANGAWESE,451.3197574,6.447425106,
Luapula Iron,-11.8833,28.55,Luapula Province,Mansa,Luapula Province > Mansa,20 Km West Of The Luapula River,Mansa,51 KM SW of mansas,Iron,,,Active,UNKNOWN,IRON OCCURRENCE,Mineralization: MAGNETITE.,104.9329799,1.49904257,
Shina Mgandu,-11.0833,31.3419,Muchinga Province,Isoka,Muchinga Province > Isoka,"Ne Of Shina Mgandu Village, Headwaters Of Mansha And Lubu Rivers",Isoka,On great north road midway between Mpika and Isoka,Diamond,,,Active,"ALTHOUGH THERE IS NO POTENTIAL FOR ECONOMIC EXPLOITATION, THE BULK SAMPLING OF GRAVELS YIELDED 0.0171 C OF ALUVIAL DIAMONDS PER 100 T OF GRAVELS.",ALUVIAL DIAMOND LOCALITY,Mineralization: DIAMOND; Formation: BENEATH WHICH ARE THE OLDER FOLDED ROCKS OF THE MANSHA RIVER GROUP.,412.8407186,5.897724551,
Kabale (Kanchibya),-11.5,31.4167,Muchinga Province,Isoka,Muchinga Province > Isoka,"South Of The Kabale Stream, A Tributary Of The Kanchibya",Isoka,45 KM north of Mpika,Diamond,,,Active,SPECULATIVE,DIAMOND/FEROUS KIMBERLITE,"Rock: Sandstone, Quartzite; Minerals: Diamond; Formation: River Group",404.5556407,5.779366295,
Mpika - Lumanala,-11.0031,31.1753,Muchinga Province,Isoka,Muchinga Province > Isoka,North Of The Road Running West From Shima Ngandu,Isoka,75 KM north of Mpika,Diamond,,,Active,NIL,DIAMOND OCCURRENCE,"Rock types: SANDSTONE, METASEDIMENT; Mineralization: DIAMOND; Formation: LUITIKILA GROUP.",399.9675217,5.713821738,
Manyinga,-12.6703,23.9233,North-Western Province,Kabompo,North-Western Province > Kabompo,"Embraces The Mawinga Stream, Which Flows South Into The Kabompo",Kabompo,The south limit of the PL is 15 KM north of Kabompo,Diamond,,,Active,NIL,DIAMOND OCCURRENCE,Rock types: GRANITE.,426.3757353,6.091081933,
Mujimbeji Mso/F,-12.0833,24.9833,North-Western Province,Mwinilunga,North-Western Province > Mwinilunga,10 Km East Of The Mwinilunga Ntambu Road,Mwinilunga,70 KM SE of Mwinilunga,Copper,,,Active,NIL,STRATIFORM COPPER,"THE PROPERTY IS LOCATED ON THE VEST SIDE OF THE KABOMPO DOME, AND IS UNDERLAIN BY CALCAREOUS ROCKS A...",315.4236636,4.506052338,
Kalaba,-12.25,24.45,North-Western Province,Mwinilunga,North-Western Province > Mwinilunga,14 Km West Of The Mwinilunga Ntambu Road,Mwinilunga,70 KM SE of Mwinilunga,Copper,Cobalt,Uranium,Active,MIL,STRATIFORM COPPER,"Mineralization: COPPER, MALACHITE, CHALCOPYRITE.",370.5941197,5.29420171,
West Lunga Iron,-12.0033,24.0069,North-Western Province,Mwinilunga,North-Western Province > Mwinilunga,West Lunga Area,Mwinilunga,South of Mwinilunga,Iron,,,Unknown,INACTIVE,NIL,IRON DEPOSITS,421.7026203,6.024323147,
West Lunga Diamonds,-12.17,24.34,North-Western Province,Mwinilunga,North-Western Province > Mwinilunga,"South Of Mwinilunga, North Of The West Lunga National Park",Mwinilunga,45 to 75 KM south of Mwinilunga,Diamond,,,Active,MIL,DIAMOND OCCURRENCE,Rock: Dolomite,383.3914102,5.477020146,
K7,-12.8167,24.6667,North-Western Province,Kabompo,North-Western Province > Kabompo,40 Km East Of The Kabompo Muniilunga Road,Kabompo,105 KM NE of Kabompo,Uranium,Copper,,Active,NIL,INSIGNIFICANT ANOMALY,Rock types: CONGLOMERATE; Mineralization: MALACHITE.,346.7768123,4.953954462,
Kabarisa,-12.2,25.8333,North-Western Province,Solwezi,North-Western Province > Solwezi,7 Km Ne Of Malundne On The Road To Airstrip,Solwezi,Approximately 80 KM west of Solwezi,Copper,Amethyst,Emerald,Active,NIL,COPPER-BEARING SCHISTS AND ULTRAWAFIC ROCKS,"Rock types: SCHIST; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",222.1527001,3.173610001,
Lumiana Chimiwango,-12.2833,25.8833,North-Western Province,Solwezi,North-Western Province > Solwezi,8 Km Se Of Malundae,Solwezi,60 KM west of Solwezi,Copper,Uranium,Cobalt,Active,"RTZ CONSULTANTS ESTIMATE A MINEABLE RESERVE OF 490.6 MILLION TOWNS CONTAINED IN TWO DEPOSITS; CHIMIWANGO SOUTH CONTAINING 97.5 MILLION TOWNS 0.1.01X COPPER, WITH A VASTE/ORE RATIO OF 6.8:1 AND CHIMIWANGO NORTH CONTAINING 393.1 MILLION TOWNS 0.75X COPPER, WITH A VASTE/ORE RATIO OF 5.0:1. AGIP ESTIMATE A RESERVE OF 13.28 MILLION TOWNS 0.1.2X COPPER, WITH A VASTE/ORE RATIO OF 4.1:1. SEE MALUNDAE DESCRIPTION FOR MORE DETAILS.",STRATIFORM COPPER,GEOLOGICALLY SIMILAR TO THE MALUNDAE DEPOSIT LOCATED 8 KM TO THE NM.,215.3758359,3.076797656,
Lunhana Lubue,-12.15,25.9667,North-Western Province,Solwezi,North-Western Province > Solwezi,16 Km East Of Malundue,Solwezi,48 KM west of Solwezi,Copper,,,Active,FREEMAN (1988-2) ESTIMATED A RESOURCE OF 70 MILLION TONNES @ 0.8X COPPER.,STRATIFORM COPPER,"Rock types: SCHIST, GNEISS, DOLOMITE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",208.9696371,2.985280529,
Lumiana Maluhque,-12.25,25.8,North-Western Province,Solwezi,North-Western Province > Solwezi,6 Km Horth Of Solwezi-Muthilunga Road,Solwezi,65 KM west of Solwezi,Copper,Uranium,Gold,Active,"RTZ CONSULTANTS ESTIMATE MINERALE RESERVES AT 92.1 MILLION TONNES GRADING 1.12K COPPER IN OPEN PIT RESERVES AT MALUNDUE WITH A MASTELORE STRIPPING RATIO OF 6.4:1 IN THEIR 1976 ""VIABILITY"" STUDY. THEY ESTIMATE GEOLOGICAL RESERVES FOR THE TWO DEPOSITS AT A CUT-OFF OF 0.3K AT 749 MILLION TONNES @ 0.84K COPPER (MALUNDUE CONTAINING 114 MILLION TONNES @ 1.11K AND CHIMIUNGO CONTAINING 635 MILLION TONNES @ 0.79K COPPER). FREEMAN (1990-8) STATES THAT AN AGIP ""PREFEASTABILITY STUDY"" ESTIMATES OPEN PIT RESERVES AT MALUNDUE AT 19.5 MILLION TONNES @ 1.4K COPPER, AT A STRIPPING RATIO OF 3.21:1. WITHIN THE PIT, A URANIUM DEPOSIT CONTAINING 4,000 T U (0.56 MILLION TONNES @ 0.65K US08) WOULD BE RECOVERED.",STRATIFORM COPPER,"Rock types: QUARTZITE, SCHIST, DOLOMITE; Mineralization: CHALCOPYRITE, PYRITE.",224.856258,3.212232257,
Muombezhi Copper,-12.2833,25.5333,North-Western Province,Solwezi,North-Western Province > Solwezi,28 Km West Of Lunmana Malundne,Solwezi,95 KM west of Solwezi,Copper,,,Unknown,NIL,STRATIFORM COPPER,SPARSE DISSEMINATED COPPER IN SCHISTS PROBABLY OF SIMILAR AGE TO MALUNDNE.,253.1143739,3.615919627,
Shileada,-12.4167,25.75,North-Western Province,Solwezi,North-Western Province > Solwezi,15 Km South Of Solvezi Nvinilunga Road,Solwezi,75 KM west of Solwezi,Copper,,,Active,NIL,EXOTIC (TRANSPORTED) SUPERGENE OCCURRENCE,No description available,228.3645292,3.262350417,
Kalumbila,-12.2667,25.2833,North-Western Province,Solwezi,North-Western Province > Solwezi,"Solwezi-Kalumbila Pl, Muniilunga Area, Just Se Of Kaboppo Dome",Solwezi,"350 KM u of chimgola, 18 KM v of muniilunga road",Nickel,Copper,,Unknown,"ESTIMATED 7 MILLION TONS GRADING 0.55X NI, 0.2X Co AND 0.15X Cu (GARLICK - R.S.T., 1964?). THE DRILL HOLE SPACING IS TOO GREAT FOR AN ACCURATE ESTIMATE (SPACING OF 150-300 M), HOWEVER, ASSUMING CONTINUITY BETWEEN INTERSECTIONS, AMGLO DID A CALCULATION IN 1972(?) , AND CAME UP WITH POSSIBLE RESERVES (TOTALLING 8.0 MILLION T GRADING 0.54X NI, 0.20X Co, 0.14X Cu) OF: 2 HIGH GRADE LENSES (-0.4X NI) - 3.0 MILLION T @ 0.73X NI, 0.27X Co, 0.12X Cu & 0.3 MILLION T @ 0.8X NI, 0.78 Co, 0.17X Cu 3 LOW GRADE LENSES - TOTAL OF 4.7 MILLION T @ 0.4X NI, 0.12X Co, 0.14X Cu",SHALE-MOSTED LENSUID NICKEL AND STRATIFORM COPPER DEPOSIT,"APPLETON (1978), ELLIS (1963), FREEMAN (1972 - 1, 1988 -",280.3139563,4.00448509,
Javuma,-12.9667,25.2333,North-Western Province,Kasempa,North-Western Province > Kasempa,14 Km North Of The Kalengwa Kalulushi Road,Kasempa,60 KM NNE of kalengwa,Copper,,,Active,NIL,SUPERGENE ENRICHED SEDIMENTARY COPPER,"Rock types: SHALE; Mineralization: COPPER, MALACHITE, DIAMOND.",287.8463476,4.11209068,
Itana,-12.9333,28.5833,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Nodla Area,Luanshya,1. 5 KM east of nodla railway station,Zinc,Lead,Copper,Active,AS A BASE METAL PROSPECT,UNCLASSIFIED,THE LIMESTONE QUARRY IS STILL ACTIVE.,91.13082258,1.301868894,
Muekera,-12.75,28.5833,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Southeastern Copperbelt,Luanshya,"40 KM SE of Mufulira and 24 KM nn of Ndola, near the Zaire border",Copper,,,Active,"7.1 MILLION TONNES AT AN AVERAGE GRADE OF 1.53X COPPER IN 3 ZONES. THE LOWER OREGODY CONTAINS AN ESTIMATED 4.6 MILLION TONNES @ 1.76X COPPER; OR A THINNER, HIGHER GRADE SECTION CONTAINING 2.6 MILLION TONNES @ 2.37X. THE LOWER GRADE ""FRINGE"" CONTAINS 1.7 MILLION TONNES @ 1.5X; AND THE HANGING WALL MINERALIZATION COMPRISES 800,000 TONNES @ 1.3X COPPER. (FREEMAN, 1988).",STRATIFORM COPPER IN LOWER ROAN,"Rock types: QUARTZITE, CONGLOMERATE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE.",83.13481505,1.187640215,
Ndola East,-12.8667,28.7167,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Southeastern Copperbelt,Luanshya,"8 KM north of Ndola, 33 KM NE of Luanshya, and 55 KM SE of Mufulira",Copper,,,Active,"IT HAS BEEN ROUGHLY ESTIMATED THAT AN AREA MEASURING 3,500 M BY 1,500 M WITH A MINERALIZED ZONE AVERAGING 5 M IN THICKNESS COULD CONTAIN ABOUT 40 MILLION TONNES AVERAGING 0.76X COPPER.",STRATIFORM COPPER IN LOWER ROAN,"Rock: Quartzite, Dolomite; Minerals: Copper; Formation: Roam Formation",101.0553859,1.44364837,
Ndola West,-12.9333,28.6667,Copperbelt Province,Luanshya,Copperbelt Province > Luanshya,Southeastern Copperbelt,Luanshya,"5 KM west of Ndola town, 25 KM NNE of luansnya, 60 KM SE of Mufulira",Copper,,,Active,POSSIBLY 3 MILLION TONNES AT AN AVERAGE GRADE OF 1.56X COPPER.,STRATIFORN COPPER IN LOWER ROAN,"Rock types: QUARTZITE, DOLOMITE; Mineralization: COPPER.",99.11755811,1.415965116,
Ngala,-12.5833,28.5167,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,Eastern Copperbelt,Kitwe,25 KM SE of Mufulira,Copper,,,Active,"ABOUT 200,000 TONNES AT AN AVERAGE GRADE OF 2.41% IN A SMALL, STEEPLY DIPPING BODY (FREEMAN, 1988).",STRATIFORM COPPER OXIDES AND SULPHIDES IN LOWER ROAN,"Rock types: QUARTZITE, SCHIST, DOLOMITE; Mineralization: COPPER, MALACHITE, DIAMOND; Formation: MUASHIA AND KUNDELUNGUI FORMATION.",72.57005843,1.03671512,
Area K,-12.8333,28.25,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,"Hkana Division, Central Copperbelt",Kitwe,6 KM south of kitne,Copper,Cobalt,,Active,"2.6 MILLION TONNES AT AN AVERAGE GRADE OF 2.06X TOTAL COPPER, 1.37X ACID SOLUBLE COPPER (HKANA DIVISION,1990); AND 0.05X COBALT IN AREAS NOT UNDERMINED BY STOPING (FREEMAN, 1988).",STRATIFROM COPPER SULPHIDES AND OXIDES IN LOWER ROAN,"Rock types: SANDSTONE, SCHIST, SHALE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE; Formation: BEARING FORMATION.",54.73536236,0.781933748,
Chambishi Mine,-12.5833,28.0333,Copperbelt Province,Chambishi,Copperbelt Province > Chambishi,"Northern Copperbelt, In Chambishi Ml19",Chambishi,Midway between kitne and Chingola,Copper,,,Unknown,ON CARE-AND-MAINTENANCE.,"ALL MINERALIZED MATERIAL AT CHAMBISHI IS CURRENTLY CLASSIFIED AS RESOURCESTOTAL RESOURCES IN THE CHAMBISHI MAIN AND WEST DEPOSITS AS AT THE END OF MARCH 1990 , AS ESTIMATED BY NKAMA DIVISION , WERE 10224 MILLION TONKES AT A GRADE OF 236% TOIL ONE RESERVES IN 1988 WERE: FULLY DEVELOPED - 542,000 T @ 302% TOTAL COPPER; PARTLY DEVELOPED - 506,000 T GRADING 320% TOTAL CU; UNDEVELOPED - 28 MILLION T @ 268% TOTAL CU",STRATIFORM COPPER MINERALIZATION IN LOWER ROAM OF KATANGA SYSTEM.,20.66117252,0.295159607,
Chambishi Southeast,-12.4533,28.1078,Luapula Province,Mansa,Luapula Province > Mansa,"Central Copperbelt, In Chambishi Ml 19",Mansa,"18 KM nu of Kitwe, and 8 KM SE of the Chambishi main oreboy",Copper,Cobalt,,Active,"NKAMA DIVISION PROVIDED AN ESTIMATE OF RESERVES AT CHAMBISHI SE IN THEIR BIENNIAL REPORT FOR THE PERIOD ENDING 31 MARCH 1990 AS FOLLOWS: CHAMBISHI SE (NORTH): 38.3 MILLION TONNES @ 2.42X TCU. CHAMBISHI SE (SOUTH): 6.3 MILLION TONNES @ 2.23X TCU. FREEMAN (1988) ESTIMATED THAT IN A MU-TRENDING AREA SOME 8,000 M LONG BY 1,000-2,000 M WIDE THERE MAY BE 55.4 MILLION TONNES AVERAGING 2.42X CU IN A ""MIGH GRADE"" SECTOR, AND A FURTHER 50.4 MILLION TONNES @ 1.63X CU IN A ""LOV GRADE"" ZONE. WITHIN THOSE TWO DEPOSITS THERE MAY BE 16 MILLION TONNES @ 0.15X CO AND 26 MILLION TONNES @ 0.10X CO RESPECTIVELY.",STRATIFORM COPPER OCCURRING AS DISSEMINATED COPPER & COBALT SULPHIDES,"Rock: Quartzite, Dolomite; Formation: Ore Formation",29.3635908,0.419479869,
Chibuluma South,-12.8833,28.0833,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,"Central-West Copperbelt, In Chibuluma Ml 39.",Kitwe,10 KM south of kalalushi,Copper,,,Active,"DATA FROM DIAMOND DRILLING ENABLED A RESOURCE CALCULATION TO BE MADE IN 1977. VIZ: (i) SULPHIDES - 8.6 MILLION TONNES AT AN AVERAGE GRADE OF 4.46%; AND (ii) AN OXIDE CAPPING OF 2.5 MILLION TONNES GRADING 3.90% COPPER (FREEMAN, 1988). IN 1988, THE MINERALE SULPHIDE RESERVE WAS CALCULATED AT 6.024 MILLION TONNES AVERAGING 4.33% COPPER. METALLURGICAL TESTS WERE COMPLETED ON THE SULPHIDE MINERALIZATION, AND RECOVERIES AVERAGED 95%, WITH CONCENTRATE GRADES OF 45% OR BETTER.",STRATIFORM OXIDE AND SULPHIDE COPPER IN LOWER ROAN,"Rock types: QUARTZITE, GNEISS; Mineralization: COPPER, MALACHITE.",46.42747903,0.6632497,
Chifubu,-12.9167,28.0667,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,"Sm Edge Of Copperbelt, On South Line Of A Syncline Of Katawam Rocks",Kitwe,1500 m south of the CHIBULUMA south oreboxy,Copper,,,Active,"ACCORDING TO HANCOCK (1976) THE DEPOSIT CONTAINS 430,000 TONNES AT 3.73X TCU. HOWEVER, FREEMAN (1988) REPORTS THAT THE DEPOSIT CONSISTS OF TWO SUPERIMPOSED LENSES; AND THAT THE UPPER LENSE CONTAINS AN ESTIMATED 65,520 TONNES AVERAGING 2.55X COPPER, WHILE THE LOVER LENSE CONTAINS AN ESTIMATED 108,420 TONNES WITH AN AVERAGE GRADE OF 2.93X COPPER.",OXIDIZED AND SULFIDE STRATIFORM COPPER IN LOWER ROAN,"Rock types: QUARTZITE; Mineralization: CHALCOPYRITE, PYRITE.",48.67710397,0.6953872,
Nutundu North,-12.5,27.6167,Luapula Province,Mansa,Luapula Province > Mansa,Nufulira - Nl15,Mansa,10 KM SE of nufulira,Copper,,,Active,4.3 MILLION TONNES AT AN AVERAGE GRADE OF 1.44X COPPER.,STRATIFORM COPPER IN LOWER ROAN,"Rock types: GRANITE, SANDSTONE, QUARTZITE; Mineralization: COPPER, MALACHITE; Formation: AND THEN HIGHER KAYANGAN FORMATION.",25.59809572,0.365687082,
Nkana Deposits,-12.7367,28.1911,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,"Central Copperselt, Within The Kitwe City Limits",Kitwe,Near city of Kitwe,Copper,Cobalt,,Active,"ORE RESERVES AS AT 31 MARCH 1990 WERE 98.792 MILLION TONNES 2.33X COPPER AND 0.14X COBALT IN SITU. IN SITU RESOURCES TOTAL 437.0 MILLION TONNES AT A GRADE OF 2.23X, INCLUDING 14.0 MILLION TONNES AT 3.93X TCU AT CHIBULUMA AND CHIBULUMA SOUTH.",STRATFORM COPPER/COBALT IN LOWER ROAN GROUP,"Rock types: QUARTZITE, DOLOMITE, SHALE; Mineralization: CHALCOPYRITE, PYRITE; Formation: AN UNMINERALISED FACIES OF THE ONE FORMATION.",43.37283137,0.619611877,
Nkana Oxides,-12.8,28.2333,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,"Nkana Division, Adjacent To Present Kike Workings",Kitwe,2. 5 KM south of Kitwe,Copper,Cobalt,,Active,IN RESOURCES.,112 MILLION TONNES AT A GRADE OF 309% TCU AND 224% AS CU,STRATIFORM REFRACTORY OXIDE OR MIXED OXIDE/SULPFIDE COPPER MINERALIZATION.,51.07807507,0.729686787,
Nkana West Limb,-12.8033,28.2078,Copperbelt Province,Kitwe,Copperbelt Province > Kitwe,Nkama - Nl3,Kitwe,3 KM sm of kitne,Copper,,,Unknown,"1927: ""PITTING"" WAS CARRIED OUT ALONG THE ENTIRE WEST LIMB OF THE NKAMA SYNCLINE. 1928: A DRILLING PROGRAMME WAS COMPLETED, CONSISTING OF 10 SHALLOW HOLES SPACED 600 - 1,000 M APART. SIX OF THE HOLES INTERSECTED MINERALIZATION, RANGING FROM 1.5X COPPER OVER 2 N TO 6.3X COPPER OVER 3 N. 1940: 4 HOLES WERE DRILLED. 1952-55: 7 HOLES WERE DRILLED. 1965-70: A DETAILED PITTING PROGRAMME WAS CARRIED OUT. 1969-84: AN ADDITIONAL 43 DRILL HOLES WERE COMPLETED. NEAR THE CHIBULUMA BOUNDARY, CLOSELY SPACED DRILLING WAS UNDERTAKEN IN ORDER TO LOCATE ANY SMALL, RICH FOOTWALL-TYPE OREGODY THAT MIGHT BE PRESENT. ONE HOLE INTERSECTED 3.28X CU OVER A VIDTH OF 9 N AT A DEPTH OF 60 N. LESSER VALUES WERE ENCOUNTERED IN 3 OTHER HOLES AT DEPTHS OF ABOUT 300 N IN SHALE OR INTERMEDIATE FOOTWALL. ANOTHER HOLE DRILLED 2,100 N TO THE EAST CUT LOWER VALUES OF 2.36X CU OVER 5 N AT A DEPTH OF 150 N.","A MAJOR EXPLORATION DRILLING PROGRAM IS PLANNED BY NKAMA DIVISION """"TO PROVE (THE) VIABILITY AND ECONOMIC LIMITS"""" OF THE WEST LIMB",Reserves: 7 MILLION T.,49.07297524,0.701042503,
